# Grid R0: 0.025, R1: 10000.0, N: 5000, spacing: natural
# SimpleStar M: 1.0Msun, R: 2.5Rsun, T: 4000.0K, age: 5495.000000000012yr
# LocallyIsothermalEOS gamma: 1.0, mu: 2.5, h0: 0.033, q: -0.25, alpha: 0.001
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolution tol: 0.5
# TracerDiffusion Sc: 1.0, flux_limit: False
# SingleFluidDrift diffusion: True settling: False van-leer: False
# time: 5494.999999999999yr
# Mtot: 0.04998287009606025, Mdot0: 3.1930104832594845e-09, Rc: 150.16614414208317, alpha_SS: 0.001
# R Sigma Sigma_G Simga_DS Sigma_DL T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
0.028256961682402368 17828.826327834344 17269.293498540454 139.88320732347304 419.64962197041916 1728.1638417814702 0.00784590105659886 0.02353770316979658 1e-05 23.59150147167325 3.19301E-09 3.65557E-09
0.03536898918061099 14097.37872589657 13646.073726298973 112.82624989939897 338.4787496981969 1544.6721679144152 0.008003349565415284 0.024010048696245852 1e-05 20.856302526272536 3.20390E-09 3.61800E-09
0.04327848885669148 11408.484008279085 11056.193749063048 88.07256480400915 264.2176944120274 1396.4056631250764 0.007719918329209673 0.023159754987629018 1e-05 18.69218045798286 3.21409E-09 3.58267E-09
0.05198546071064384 9418.446604708639 9141.40447871735 69.26053149782224 207.78159449346674 1274.1093329166492 0.007353710691866775 0.022061132075600325 1e-05 16.938391028217907 3.22439E-09 3.55278E-09
0.06148990474246804 7907.485647248318 7686.003223266069 55.37060599556235 166.11181798668704 1171.5092860450475 0.007002302434128409 0.021006907302385226 1e-05 15.488906307543472 3.23487E-09 3.52817E-09
0.0717918209521641 6734.06572471044 6553.938431375066 45.03182333384345 135.09547000153034 1084.2018924706492 0.006687167184692096 0.020061501554076287 1e-05 14.271122108197483 3.24538E-09 3.50800E-09
0.0828912093397321 5804.803756547667 5655.998839765948 37.20122919542985 111.60368758628957 1009.005207462742 0.006408697133553885 0.019226091400661654 1e-05 13.233716598654782 3.25578E-09 3.49143E-09
0.0947880699051719 5056.368017117889 4931.731365137925 31.159162994991075 93.47748898497322 943.5627890996603 0.006162360589558448 0.01848708176867534 1e-05 12.339413919471502 3.26594E-09 3.47776E-09
0.10748240264848355 4444.662711248752 4339.000608085223 26.41552579088239 79.24657737264717 886.0922997878748 0.005943201432142149 0.017829604296426445 1e-05 11.560501498910204 3.27573E-09 3.46644E-09
0.12097420756966715 3938.2451557229456 3847.714104762724 22.63276274005538 67.89828822016614 835.2207062630054 0.005746915655356319 0.017240746966068955 1e-05 10.875956669938633 3.28507E-09 3.45703E-09
0.13526348466872254 3514.214323667553 3435.917975849034 19.574086954629706 58.72226086388912 789.8731655778023 0.005569975292287104 0.016709925876861313 1e-05 10.269548580282462 3.29388E-09 3.44918E-09
0.15035023394564978 3155.5733156523975 3087.2927308077165 17.070146211170325 51.210438633510975 749.1962440145653 0.005409522930903973 0.01622856879271192 1e-05 9.72855066064894 3.30209E-09 3.44262E-09
0.16623445540044898 2849.4939296928346 2789.5036796641775 14.997562507164286 44.992687521492854 712.5036985256413 0.005263237219382661 0.015789711658147982 1e-05 9.242846518518403 3.30966E-09 3.43713E-09
0.18291614903311998 2586.147951634284 2533.0882915374673 13.264915024204178 39.794745072612535 679.2374467119516 0.005129217381326379 0.015387652143979136 1e-05 8.804295949991268 3.31657E-09 3.43252E-09
0.20039531484366283 2357.9033587325557 2310.6897125127134 11.803411554960594 35.410234664881784 648.938982777697 0.0050058928459668865 0.01501767853790066 1e-05 8.406276930581463 3.32280E-09 3.42863E-09
0.21867195283207758 2158.760883119055 2116.5186456774636 10.560559360397926 31.681678081193777 621.2281170269908 0.004891954196029183 0.014675862588087549 1e-05 8.04334914309096 3.32835E-09 3.42535E-09
0.2377460629983642 1983.9522027902167 1945.969037487281 9.495791325733947 28.487373977201845 595.786939453482 0.004786300452389494 0.014358901357168483 1e-05 7.711003019138554 3.33322E-09 3.42257E-09
0.2576176453425226 1829.648881724246 1795.3393165436478 8.577391295149557 25.732173885448674 572.3475687439487 0.004687998544871787 0.014063995634615361 1e-05 7.40546997137555 3.33744E-09 3.42019E-09
0.27828669986455307 1692.7485089610527 1661.627315035337 7.7802984814289475 23.340895444286843 550.6826836796213 0.004596251859175591 0.013788755577526773 1e-05 7.123577089536219 3.34102E-09 3.41816E-09
0.2997532265644552 1570.7154998575315 1542.377432414817 7.084516860678679 21.253550582036038 530.5981265758992 0.004510375597185656 0.013531126791556967 1e-05 6.862634603350348 3.34400E-09 3.41640E-09
0.3220172254422292 1461.4611618731 1435.565371904763 6.473947492084302 19.421842476252905 511.9270683741078 0.004429777308475913 0.01328933192542774 1e-05 6.62034780647404 3.34641E-09 3.41487E-09
0.34507869649787515 1363.2523396523547 1339.5102565005898 5.935520787941227 17.80656236382368 494.52536379358605 0.004353941390964239 0.013061824172892717 1e-05 6.394747459873147 3.34830E-09 3.41351E-09
0.368937639731393 1274.6411171021168 1252.8069396354629 5.45854436666349 16.375633099990466 478.2678226811389 0.00428241666883729 0.01284725000651187 1e-05 6.184134310449077 3.34969E-09 3.41231E-09
0.3935940551427826 1194.4102100589625 1174.2733789861798 5.034207768195725 15.102623304587175 463.045193428444 0.004214806375396949 0.012644419126190848 1e-05 5.987034501957059 3.35064E-09 3.41122E-09
