# Grid R0: 0.025, R1: 10000.0, N: 5000, spacing: natural
# SimpleStar M: 1.0Msun, R: 2.5Rsun, T: 4000.0K, age: 1995.0000000000011yr
# LocallyIsothermalEOS gamma: 1.0, mu: 2.5, h0: 0.033, q: -0.25, alpha: 0.001
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolution tol: 0.5
# TracerDiffusion Sc: 1.0, flux_limit: False
# SingleFluidDrift diffusion: True settling: False van-leer: False
# time: 1995.0yr
# Mtot: 0.04999391805363208, Mdot0: 3.1793761558053606e-09, Rc: 150.06218069819926, alpha_SS: 0.001
# R Sigma Sigma_G Simga_DS Sigma_DL T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
0.028256961682402368 17452.377762842938 17144.928929787497 76.86220826385976 230.58662479157925 1728.1638417814702 0.0044041109646104255 0.013212332893831277 1e-05 23.421607613131364 3.17938E-09 3.57839E-09
0.03536898918061099 13802.672227706713 13551.79357175492 62.719663987948216 188.15899196384464 1544.6721679144152 0.004544023284277393 0.013632069852832178 1e-05 20.712207201504878 3.19914E-09 3.54236E-09
0.04327848885669148 11185.112015496843 10985.745920890042 49.841523651700356 149.52457095510107 1396.4056631250764 0.004456059410280872 0.013368178230842616 1e-05 18.573077668454193 3.21928E-09 3.51253E-09
0.05198546071064384 9249.677119654621 9089.71884525206 39.98956860064032 119.96870580192093 1274.1093329166492 0.00432334751617076 0.012970042548512278 1e-05 16.84262111975204 3.23941E-09 3.48912E-09
0.06148990474246804 7779.517512918454 7649.03841121221 32.61977542656087 97.8593262796826 1171.5092860450475 0.00419303322762541 0.012579099682876231 1e-05 15.414414469074675 3.25894E-09 3.47107E-09
0.0717918209521641 6636.660667773891 6528.476133478343 27.04613357388694 81.13840072166083 1084.2018924706492 0.004075262383869766 0.0122257871516093 1e-05 14.215678260769826 3.27733E-09 3.45726E-09
0.0828912093397321 5730.483448269783 5639.468841671655 22.753651649531978 68.26095494859594 1009.005207462742 0.003970633866223283 0.011911901598669849 1e-05 13.195040262899871 3.29419E-09 3.44673E-09
0.0947880699051719 4999.623898451819 4922.076539761763 19.386839672513783 58.160519017541354 943.5627890996603 0.0038776596132595303 0.01163297883977859 1e-05 12.31525711168614 3.30924E-09 3.43873E-09
0.10748240264848355 4401.381442339855 4334.574334444763 16.701776973773075 50.10533092131923 886.0922997878748 0.0037946670136578993 0.011384001040973698 1e-05 11.548708473815953 3.32233E-09 3.43268E-09
0.12097420756966715 3905.315502228115 3847.201363032736 14.52853479884476 43.58560439653428 835.2207062630054 0.00372019489604764 0.01116058468814292 1e-05 10.874507353101055 3.33343E-09 3.42812E-09
