# Grid R0: 0.025, R1: 10000.0, N: 5000, spacing: natural
# SimpleStar M: 1.0Msun, R: 2.5Rsun, T: 4000.0K, age: 34673.00000000005yr
# LocallyIsothermalEOS gamma: 1.0, mu: 2.5, h0: 0.033, q: -0.25, alpha: 0.001
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolution tol: 0.5
# TracerDiffusion Sc: 1.0, flux_limit: False
# SingleFluidDrift diffusion: True settling: False van-leer: False
# time: 34673.0yr
# Mtot: 0.04989026227945048, Mdot0: 3.218623807237967e-09, Rc: 150.81121820071144, alpha_SS: 0.001
# R Sigma Sigma_G Simga_DS Sigma_DL T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
0.028256961682402368 19274.47747042906 17448.32491214516 456.5381395709758 1369.6144187129273 1728.1638417814702 0.023686148704752046 0.07105844611425613 1e-05 23.83607545253055 3.21862E-09 3.95199E-09
0.03536898918061099 15252.156307684285 13784.966289574957 366.79750452733197 1100.392513581996 1544.6721679144152 0.024048894931828976 0.07214668479548693 1e-05 21.068582290872563 3.22830E-09 3.91436E-09
0.04327848885669148 12288.062082657294 11164.054698078877 281.0018461446044 843.0055384338132 1396.4056631250764 0.022867873245952686 0.06860361973785806 1e-05 18.874535829924856 3.23161E-09 3.85889E-09
0.05198546071064384 10084.985626148542 9225.200435010454 214.94629778452176 644.8388933535654 1274.1093329166492 0.021313495700698366 0.0639404871020951 1e-05 17.09365914676365 3.23317E-09 3.80421E-09
0.06148990474246804 8417.14003688443 7751.010943748957 166.53227328386805 499.5968198516041 1171.5092860450475 0.019784899924928573 0.05935469977478572 1e-05 15.619910480008361 3.23452E-09 3.75557E-09
0.0717918209521641 7128.826118136832 6604.15882339646 131.16682368509296 393.5004710552789 1084.2018924706492 0.018399498249983173 0.05519849474994952 1e-05 14.380476407808823 3.23613E-09 3.71364E-09
0.0828912093397321 6114.564107891794 5694.491205645984 105.01822556145235 315.05467668435705 1009.005207462742 0.017175096001677378 0.05152528800503213 1e-05 13.323779746774028 3.23808E-09 3.67774E-09
0.0947880699051719 5302.28618853511 4960.8606429661095 85.35638639225024 256.06915917675076 943.5627890996603 0.016098034575503004 0.04829410372650901 1e-05 12.412296684100188 3.24033E-09 3.64690E-09
0.10748240264848355 4641.868540919833 4360.615537788218 70.31325078290392 210.93975234871175 886.0922997878748 0.015147617853255843 0.04544285355976753 1e-05 11.618090665126196 3.24284E-09 3.62024E-09
0.12097420756966715 4097.732184304748 3863.275225450375 58.61423971359333 175.84271914077996 835.2207062630054 0.014304067976452749 0.042912203929358246 1e-05 10.919941765953194 3.24552E-09 3.59703E-09
