# Grid R0: 0.025, R1: 10000.0, N: 5000, spacing: natural
# SimpleStar M: 1.0Msun, R: 2.5Rsun, T: 4000.0K, age: 1584892.9999999858yr
# LocallyIsothermalEOS gamma: 1.0, mu: 2.5, h0: 0.033, q: -0.25, alpha: 0.001
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolution tol: 0.5
# TracerDiffusion Sc: 1.0, flux_limit: False
# SingleFluidDrift diffusion: True settling: False van-leer: False
# time: 1584893.0yr
# Mtot: 0.04536798955030647, Mdot0: 2.5541581337300282e-09, Rc: 182.37172631156503, alpha_SS: 0.001
# R Sigma Sigma_G Simga_DS Sigma_DL T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
0.028256961682402368 13951.032414144089 13859.291558671752 22.935213868084155 68.80564160425247 1728.1638417814702 0.0016439796846025216 0.004931939053807565 1e-05 18.93311369283214 2.55416E-09 2.86048E-09
0.03536898918061099 11019.993569444117 10947.54348222709 18.11252180425645 54.337565412769344 1544.6721679144152 0.001643605478543859 0.004930816435631577 1e-05 16.731939410881132 2.55156E-09 2.82821E-09
0.04327848885669148 8919.362189867481 8864.163837705264 13.799588040554092 41.398764121662275 1396.4056631250764 0.0015471496444253172 0.004641448933275952 1e-05 14.986219835153852 2.54924E-09 2.80100E-09
0.05198546071064384 7365.03470529485 7322.681671324992 10.588258492464584 31.76477547739375 1274.1093329166492 0.001437638642062678 0.004312915926188034 1e-05 13.568423300034361 2.54726E-09 2.77820E-09
0.06148990474246804 6183.476449426286 6150.43135266689 8.261274189848999 24.783822569546995 1171.5092860450475 0.001336024202148533 0.004008072606445599 1e-05 12.394407366895996 2.54557E-09 2.75895E-09
0.0717918209521641 5264.599722689491 5238.359790785942 6.559982975887076 19.67994892766123 1084.2018924706492 0.0012460554118890964 0.0037381662356672893 1e-05 11.40646544116121 2.54408E-09 2.74251E-09
0.0828912093397321 4536.038487566485 4514.863329014284 5.293789638050191 15.881368914150572 1009.005207462742 0.0011670513053539428 0.0035011539160618283 1e-05 10.563725960790082 2.54275E-09 2.72830E-09
0.0947880699051719 3948.6955691475423 3931.3614546356953 4.3335286279617184 13.000585883885156 943.5627890996603 0.001097458275036699 0.0032923748251100973 1e-05 9.836443363222145 2.54153E-09 2.71591E-09
0.10748240264848355 3468.327196575201 3453.95758595057 3.5924026561577196 10.777207968473158 886.0922997878748 0.0010357738623117901 0.0031073215869353707 1e-05 9.202460533227372 2.54039E-09 2.70498E-09
0.12097420756966715 3070.465910452689 3058.4206472743813 3.0113157945769484 9.033947383730844 835.2207062630054 0.0009807357848610604 0.002942207354583181 1e-05 8.644938145749546 2.53931E-09 2.69528E-09
0.13526348466872254 2737.2555021762673 2727.0584601568357 2.5492605048579486 7.647781514573845 789.8731655778023 0.0009313198942631213 0.002793959682789364 1e-05 8.15085212589528 2.53826E-09 2.68660E-09
0.15035023394564978 2455.418896036435 2446.710029409826 2.177216656652218 6.5316499699566535 749.1962440145653 0.0008866986648048958 0.0026600959944146872 1e-05 7.709972635735089 2.53723E-09 2.67878E-09
0.16623445540044898 2214.918665376382 2207.421613172768 1.8742630509034168 5.62278915271025 712.5036985256413 0.0008461994926504097 0.002538598477951229 1e-05 7.314153883701799 2.53623E-09 2.67169E-09
0.18291614903311998 2008.0531409750618 2001.5529055470658 1.625058856998979 4.875176570996937 679.2374467119516 0.0008092708424090261 0.002427812527227078 1e-05 6.956829810817761 2.53522E-09 2.66523E-09
0.20039531484366283 1828.833514107131 1823.1607926043719 1.4181803756897473 4.254541127069242 648.938982777697 0.0007754562483409695 0.0023263687450229085 1e-05 6.632649303200818 2.53422E-09 2.65931E-09
0.21867195283207758 1672.5463983757907 1667.566394309666 1.245001016531187 3.735003049593561 621.2281170269908 0.000744374576239085 0.002233123728717255 1e-05 6.337207922127568 2.53321E-09 2.65386E-09
0.2377460629983642 1535.4413470948607 1531.0456550042118 1.0989230226621909 3.2967690679865727 595.786939453482 0.0007157049826366949 0.002147114947910085 1e-05 6.066847642869346 2.53219E-09 2.64883E-09
0.2576176453425226 1414.5041489591638 1410.6047833898224 0.9748413923353406 2.924524177006022 572.3475687439487 0.0006891753502827541 0.0020675260508482623 1e-05 5.8185053201992165 2.53116E-09 2.64416E-09
0.27828669986455307 1307.2900170356347 1303.8149614379706 0.8687638994160208 2.6062916982480626 550.6826836796213 0.0006645533034712524 0.001993659910413757 1e-05 5.5895965986190825 2.53011E-09 2.63980E-09
0.2997532265644552 1211.7992512832052 1208.689099893439 0.7775378474415463 2.332613542324639 530.5981265758992 0.0006416391548502705 0.0019249174645508114 1e-05 5.377925965004814 2.52904E-09 2.63574E-09
0.3220172254422292 1126.3834528558389 1123.5888490405562 0.6986509538206522 2.0959528614619565 511.9270683741078 0.0006202603137051496 0.0018607809411154488 1e-05 5.1816163288019315 2.52795E-09 2.63192E-09
0.34507869649787515 1049.6740042729227 1047.1536663998977 0.6300844682562476 1.8902534047687427 494.52536379358605 0.0006002668120686555 0.0018008004362059665 1e-05 4.99905335984611 2.52684E-09 2.62833E-09
0.368937639731393 980.5269740489794 978.2461596857479 0.5702035908078676 1.710610772423603 478.2678226811389 0.0005815276946979582 0.0017445830840938747 1e-05 4.828841099761127 2.52571E-09 2.62494E-09
0.3935940551427826 917.98027321387 915.9095737904723 0.5176748558493997 1.5530245675481988 463.045193428444 0.0005639280831569595 0.0016917842494708784 1e-05 4.6697662717097845 2.52455E-09 2.62174E-09
0.41904794273204427 861.2200466748353 859.3344337316211 0.4714032358035732 1.4142097074107196 448.76170470200196 0.0005473667706919478 0.0016421003120758435 1e-05 4.5207693639531294 2.52337E-09 2.61870E-09
0.4452993024991776 809.5540930320009 807.8321577507043 0.43048382032415533 1.291451460972466 435.3330485377993 0.0005317542385733312 0.0015952627157199935 1e-05 4.380921034149653 2.52216E-09 2.61580E-09
0.47234813444418283 762.3906821682515 760.8140246627156 0.3941643763839552 1.1824931291518654 422.6847150356203 0.0005170110097134782 0.0015510330291404347 1e-05 4.249402726784837 2.52092E-09 2.61305E-09
0.5001944385670599 719.2215534720589 717.7742890432651 0.3618161071984327 1.0854483215952981 410.7506091634103 0.0005030662741567699 0.0015091988224703097 1e-05 4.125490651891521 2.51966E-09 2.61041E-09
0.528838214867809 679.6081777816315 678.2765352088594 0.33291064319302494 0.9987319295790748 399.4718954468903 0.0004898567352142637 0.0014695702056427911 1e-05 4.008542464439445 2.51837E-09 2.60789E-09
0.5582794633464297 643.1705862940909 641.9425790579409 0.3070018090375095 0.9210054271125286 388.7960279128637 0.0004773256358106097 0.001431976907431829 1e-05 3.8979861280392814 2.51705E-09 2.60546E-09
0.5885181840029227 609.5782326420169 608.4433883248535 0.28371107929087086 0.8511332378726126 378.67593153202216 0.00046542193290140667 0.00139626579870422 1e-05 3.793310556386164 2.51570E-09 2.60313E-09
0.6195543768372871 578.5424760307492 577.4916124162912 0.2627159036144864 0.7881477108434591 369.06930825753284 0.0004540995942370931 0.0013622987827112793 1e-05 3.6940577100803877 2.51432E-09 2.60089E-09
0.6513880418495236 549.8103649630056 548.835403843885 0.2437402797801161 0.7312208393403483 359.93804608075715 0.0004433169967549018 0.0013299509902647054 1e-05 3.599815891554963 2.51291E-09 2.59872E-09
0.6840191790396318 523.1594706213741 522.2532822257065 0.2265470989169003 0.679641296750701 351.24771369340664 0.0004330364098117591 0.0012991092294352773 1e-05 3.5102140315148898 2.51148E-09 2.59663E-09
0.7174477884076121 498.39357215252227 497.5498445657466 0.21093189669391882 0.6327956900817564 342.9671266290638 0.0004232235495793429 0.0012696706487380287 1e-05 3.424916800012504 2.51001E-09 2.59460E-09
0.7516738699534641 475.3390370405097 474.5521661349477 0.19671772639050472 0.5901531791715141 335.06797335997794 0.0004138471933954372 0.0012415415801863116 1e-05 3.343620406616293 2.50851E-09 2.59263E-09
0.7866974236771881 453.84177149447436 453.106767765734 0.1837509321850924 0.5512527965552771 327.5244919006004 0.00040487884484500256 0.0012146365345350077 1e-05 3.266048978999182 2.50699E-09 2.59071E-09
0.8225184495787838 433.7646405345504 433.0770499400565 0.171897648623474 0.515692945870422 320.31318913360195 0.00039629244193725824 0.0011888773258117748 1e-05 3.1919514291242463 2.50543E-09 2.58885E-09
0.8591369476582514 414.9852768908887 414.3411133355525 0.1610408888340562 0.4831226665021686 313.4125964156974 0.0003880641020341509 0.0011641923061024527 1e-05 3.121098732141041 2.50384E-09 2.58704E-09
0.8965529179155909 397.3942131683819 396.7899007189125 0.1510781123673411 0.45323433710202327 306.8030561075596 0.0003801718982337748 0.0011405156947013244 1e-05 3.0532815559637925 2.50222E-09 2.58526E-09
0.9347663603508022 380.8932839029778 380.32560716073726 0.14191918556014096 0.42575755668042287 300.46653455701227 0.00037259566276913144 0.0011177869883073942 1e-05 2.9883081899301405 2.50057E-09 2.58353E-09
0.9737772749638856 365.39425384784954 364.8603151896301 0.13348466455485397 0.4004539936645619 294.38645778844256 0.0003653168136859566 0.0010959504410578697 1e-05 2.9260027294354947 2.49889E-09 2.58184E-09
1.0135856617548404 350.817636615518 350.3148192368905 0.12570434465686972 0.3771130339706092 288.54756674593165 0.00035831820164342716 0.0010749546049302816 1e-05 2.866203480392888 2.49718E-09 2.58017E-09
1.0541915207236676 337.09167407658157 336.6176099548665 0.11851603042876244 0.35554809128628734 282.9357894280883 0.0003515839741619889 0.0010547519224859668 1e-05 2.8087615530858736 2.49544E-09 2.57855E-09
1.0955948518703664 324.1514519942504 323.7039940365133 0.11186448943427423 0.3355934683028227 277.5381276588452 0.00034509945504195493 0.001035298365125865 1e-05 2.7535396197022153 2.49367E-09 2.57695E-09
1.137795655194937 311.9381315024716 311.5153292651013 0.10570055934258864 0.3171016780277659 272.3425565762996 0.0003388510370100461 0.0010165531110301383 1e-05 2.7004108137487184 2.49186E-09 2.57537E-09
1.1807939306973796 300.39827940591215 299.9983578716926 0.09998038355488836 0.2999411506646651 267.3379352036325 0.00033282608593037316 0.0009984782577911195 1e-05 2.6492577528028227 2.49003E-09 2.57382E-09
1.224589678377694 289.4832830427906 289.10462402316506 0.09466475490639442 0.28399426471918326 262.5139267023058 0.00032701285515129847 0.0009810385654538953 1e-05 2.599971668775272 2.48816E-09 2.57230E-09
1.2691828982358802 279.14883772492146 278.78996352272526 0.08971855054905824 0.2691556516471747 257.86092710622194 0.00032140040875781325 0.0009642012262734397 1e-05 2.5524516321365573 2.48626E-09 2.57079E-09
1.3145735902719382 269.354496647032 269.01405567101267 0.08511024400483723 0.2553307320145117 253.37000150291203 0.00031597855266685056 0.0009479356580005516 1e-05 2.5066038584758923 2.48433E-09 2.56931E-09
1.3607617544858688 260.0632747138772 259.7400287829514 0.08081148273144893 0.2424344481943468 249.03282676940657 0.0003107377726453614 0.0009322133179360841 1e-05 2.462341087377926 2.48237E-09 2.56784E-09
1.4077473908776705 251.2412990283498 250.93411214248061 0.07679672146729505 0.23039016440188514 244.84164009058927 0.0003056691784523427 0.0009170075353570281 1e-05 2.419582024970539 2.48038E-09 2.56639E-09
1.4555304994473441 242.8574998642857 242.56532825147326 0.07304290320310869 0.2191287096093261 240.7891925900789 0.00030076445340961977 0.0009022933602288593 1e-05 2.378250842658564 2.47836E-09 2.56496E-09
1.5041110801948896 234.88333685233425 234.6052201286111 0.06952918093078875 0.20858754279236624 236.86870749095246 0.00029601580879490036 0.0008880474263847011 1e-05 2.3382767255470513 2.47631E-09 2.56354E-09
1.5534891331203076 227.29255586706967 227.0276091694803 0.06623667439734696 0.19871002319204087 233.07384229830143 0.0002914159425268858 0.0008742478275806574 1e-05 2.2995934649020664 2.47423E-09 2.56213E-09
1.603664658223597 220.0609727435735 219.80837971563045 0.06314825698576332 0.18944477095728993 229.39865455969803 0.0002869580016777757 0.000860874005033327 1e-05 2.26213908971986 2.47211E-09 2.56073E-09
1.654637655504758 213.1662804924544 212.9252870181005 0.06024836858847616 0.18074510576542846 225.83757081477845 0.0002826355484051748 0.0008479066452155243 1e-05 2.225855533095712 2.46996E-09 2.55934E-09
1.706408124963791 206.5878771403936 206.35778573655273 0.057522850960217156 0.17256855288065148 222.38535839269446 0.00027844252894435625 0.0008353275868330688 1e-05 2.190688329617827 2.46779E-09 2.55797E-09
1.758976066600696 200.30671171246826 200.08687650224104 0.05495880255680622 0.16487640767041867 219.03709975728987 0.0002743732453443559 0.0008231197360330677 1e-05 2.1565863404723022 2.46558E-09 2.55660E-09
1.8123414804154725 194.30514620397614 194.09496840276412 0.05254445030300719 0.15763335090902156 215.7881691354719 0.0002704223296682399 0.0008112669890047196 1e-05 2.1235015033436184 2.46334E-09 2.55524E-09
1.8665043664081211 188.56683167252004 188.36575552811996 0.05026903610001996 0.1508071083000599 212.63421119517955 0.0002665847204100089 0.0007997541612300267 1e-05 2.0913886045404277 2.46107E-09 2.55389E-09
1.9214647245786423 183.07659682339423 182.8841059586206 0.048122716193403595 0.14436814858021077 209.57112156627142 0.00026285564090873623 0.0007885669227262087 1e-05 2.0602050710764006 2.45877E-09 2.55254E-09
1.9772225549270346 177.82034766919517 177.63596178205626 0.04609647178472489 0.13828941535417466 206.59502902113655 0.00025923057956494166 0.000777691738694825 1e-05 2.029910780697057 2.45644E-09 2.55120E-09
2.0337778574532988 172.7849770233679 172.60824890539598 0.04418202949297516 0.13254608847892546 203.70227915234997 0.00025570527168574303 0.000767115815057229 1e-05 2.000467888071379 2.45407E-09 2.54986E-09
2.0911306321574346 167.95828274150693 167.78879557966198 0.042371790461236646 0.12711537138370993 200.8894194026692 0.0002522756828042125 0.0007568270484126376 1e-05 1.9718406655661989 2.45168E-09 2.54853E-09
2.1492808790394426 163.3288937573467 163.16625868908446 0.04065876706555523 0.1219763011966657 198.153185318433 0.0002489379933348527 0.0007468139800045581 1e-05 1.9439953571957955 2.44926E-09 2.54720E-09
2.2082285980993226 158.88620307562107 158.73005697033716 0.03903652632097937 0.1171095789629381 195.49048791128567 0.00024568858444178526 0.0007370657533253557 1e-05 1.9169000444923339 2.44680E-09 2.54588E-09
2.267973789337075 154.62030698392846 154.4703104271369 0.03749913919788813 0.1124974175936644 192.89840202535663 0.00024252402500912036 0.0007275720750273611 1e-05 1.8905245231773602 2.44431E-09 2.54455E-09
2.328516452752698 150.52194983262672 150.3777852919742 0.03604113516313512 0.10812340548940537 190.374155617795 0.00023944105961430315 0.0007183231788429094 1e-05 1.8648401896331925 2.44180E-09 2.54323E-09
2.3898565883461935 146.58247380744552 146.44384396205444 0.03465746134776722 0.10397238404330167 187.9151198700743 0.00023643659741541916 0.0007093097922462575 1e-05 1.839819936277721 2.43925E-09 2.54192E-09
2.451994196117561 142.79377318552088 142.66039940224798 0.03334344581822346 0.10003033745467038 185.5188000559099 0.0002335077018722862 0.0007005231056168586 1e-05 1.8154380550385965 2.43667E-09 2.54060E-09
2.5149292760668 139.14825262326474 139.0198735652934 0.032094764492833265 0.09628429347849979 183.18282709909985 0.00023065158122917897 0.000691954743687537 1e-05 1.7916701482047344 2.43406E-09 2.53928E-09
2.5786618281939107 135.63878907501345 135.51515942980714 0.030907411301575538 0.09272223390472661 180.90494976123452 0.00022786557969403984 0.0006835967390821196 1e-05 1.7684930460056822 2.43142E-09 2.53796E-09
2.6431918524988935 132.2586969857269 132.13958630078395 0.029777671235741446 0.08933301370722434 178.6830274051225 0.0002251471692553798 0.0006754415077661394 1e-05 1.7458847303339144 2.42875E-09 2.53665E-09
2.708519348981749 129.0016964399598 128.88688805605418 0.02870209597640518 0.08610628792921554 176.51502328503446 0.00022249394208365128 0.0006674818262509539 1e-05 1.7238242640825328 2.42605E-09 2.53533E-09
2.7746443176424758 125.8618839836076 125.75117405629807 0.027677481827382586 0.08303244548214776 174.39899831955879 0.00021990360346892102 0.0006597108104067631 1e-05 1.7022917256219878 2.42332E-09 2.53401E-09
2.841566758481074 122.83370586514962 122.72690246630803 0.026700849710398968 0.08010254913119691 172.33310530704838 0.00021737396525113334 0.0006521218957534 1e-05 1.681268147985046 2.42056E-09 2.53269E-09
2.9092866714975445 119.91193346979846 119.80885576176577 0.025769427008170448 0.07730828102451134 170.31558354739084 0.00021490293970333527 0.0006447088191100059 1e-05 1.6607354623700408 2.41777E-09 2.53137E-09
2.977804056691886 117.09164074355746 116.99211821929525 0.024880631065556075 0.07464189319666824 168.3447538371876 0.0002124885338317803 0.000637465601495341 1e-05 1.6406764456088834 2.41495E-09 2.53005E-09
3.0471189140641006 114.36818342508796 114.27205520836648 0.024032054180370476 0.07209616254111144 166.41901380844186 0.00021012884406012845 0.0006303865321803854 1e-05 1.6210746712790225 2.41210E-09 2.52873E-09
3.117231243614187 111.73717992182127 111.64429412208432 0.023221449934236874 0.0696643498027106 164.53683358356008 0.00020782205126784243 0.0006234661538035272 1e-05 1.601914464167869 2.40922E-09 2.52740E-09
3.1881410453421446 109.19449368321222 109.1047068002907 0.02244672073037803 0.06734016219113409 162.69675172190486 0.0002055664161555523 0.0006166992484666569 1e-05 1.5831808578245263 2.40630E-09 2.52607E-09
