# Grid R0: 0.025, R1: 10000.0, N: 5000, spacing: natural
# SimpleStar M: 1.0Msun, R: 2.5Rsun, T: 4000.0K, age: 19054.00000000005yr
# LocallyIsothermalEOS gamma: 1.0, mu: 2.5, h0: 0.033, q: -0.25, alpha: 0.001
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolution tol: 0.5
# TracerDiffusion Sc: 1.0, flux_limit: False
# SingleFluidDrift diffusion: True settling: False van-leer: False
# time: 19054.0yr
# Mtot: 0.04993993218173202, Mdot0: 3.1920072540705512e-09, Rc: 150.4892127021161, alpha_SS: 0.001
# R Sigma Sigma_G Simga_DS Sigma_DL T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
0.028256961682402368 18669.4008924013 17285.439502008438 345.9903475982152 1037.9710427946457 1728.1638417814702 0.018532482621819855 0.055597447865459566 1e-05 23.613558451862325 3.19201E-09 3.82792E-09
0.03536898918061099 14769.375554799257 13657.515858271057 277.9649241320497 833.8947723961492 1544.6721679144152 0.018820357238578445 0.056461071715735334 1e-05 20.87379038180826 3.20293E-09 3.79046E-09
0.04327848885669148 11918.749063911035 11062.990972071162 213.93952295996831 641.818568879905 1396.4056631250764 0.01794983028946881 0.05384949086840643 1e-05 18.70367219935105 3.20952E-09 3.74292E-09
0.05198546071064384 9803.853665342256 9144.165155268074 164.92212751854547 494.7663825556364 1274.1093329166492 0.01682217351953794 0.05046652055861382 1e-05 16.94350637116411 3.21503E-09 3.69816E-09
0.06148990474246804 8201.23113342709 7685.420120039674 128.95275334685405 386.8582600405622 1171.5092860450475 0.01572358481902313 0.04717075445706939 1e-05 15.487731232412887 3.22040E-09 3.65923E-09
0.0717918209521641 6960.800305461733 6550.64406823138 102.53905930758832 307.61717792276494 1084.2018924706492 0.014730929606920616 0.04419278882076185 1e-05 14.26394867207437 3.22587E-09 3.62611E-09
0.0828912093397321 5982.001735097119 5650.535771867266 82.86649080746348 248.59947242239042 1009.005207462742 0.013852635702406415 0.041557907107219245 1e-05 13.220934295408524 3.23144E-09 3.59801E-09
0.0947880699051719 5196.376254636781 4924.555559714643 67.95517373053434 203.86552119160302 943.5627890996603 0.013077415953068687 0.03923224785920606 1e-05 12.321459731222447 3.23708E-09 3.57406E-09
0.10748240264848355 4556.310283103104 4330.492844812346 56.454359572689484 169.36307871806844 886.0922997878748 0.012390367658244927 0.03717110297473478 1e-05 11.537834064873623 3.24273E-09 3.55351E-09
0.12097420756966715 4027.952888500461 3838.1919180991213 47.44024260033502 142.32072780100503 835.2207062630054 0.01177775508143945 0.035333265244318346 1e-05 10.849041237363167 3.24833E-09 3.53577E-09
0.13526348466872254 3586.734206069141 3425.646145321246 40.272015186973775 120.81604556092131 789.8731655778023 0.011228045590562351 0.03368413677168705 1e-05 10.23884730529423 3.25385E-09 3.52036E-09
0.15035023394564978 3214.4809050508816 3076.492010973719 34.4972235192906 103.4916705578718 749.1962440145653 0.010731817838794892 0.03219545351638468 1e-05 9.694515873786008 3.25925E-09 3.50689E-09
0.16623445540044898 2897.520279195241 2778.357943206664 29.790583997144193 89.37175199143257 712.5036985256413 0.01028140655685704 0.03084421967057112 1e-05 9.205915815697086 3.26451E-09 3.49506E-09
0.18291614903311998 2625.407163073083 2521.7503604271706 25.91420066147824 77.74260198443473 679.2374467119516 0.009870545424712421 0.029611636274137265 1e-05 8.76488851942947 3.26961E-09 3.48462E-09
0.20039531484366283 2390.051412967234 2299.2861385249266 22.691318610576847 68.07395583173054 648.938982777697 0.009494071335647846 0.028482214006943538 1e-05 8.36479078883746 3.27452E-09 3.47538E-09
0.21867195283207758 2185.1084687974376 2105.1536587352402 19.98870251554937 59.96610754664811 621.2281170269908 0.00914769349026872 0.02744308047080616 1e-05 8.000159087492035 3.27924E-09 3.46716E-09
