# Grid R0: 0.025, R1: 10000.0, N: 5000, spacing: natural
# SimpleStar M: 1.0Msun, R: 2.5Rsun, T: 4000.0K, age: 13182.00000000004yr
# LocallyIsothermalEOS gamma: 1.0, mu: 2.5, h0: 0.033, q: -0.25, alpha: 0.001
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolution tol: 0.5
# TracerDiffusion Sc: 1.0, flux_limit: False
# SingleFluidDrift diffusion: True settling: False van-leer: False
# time: 13182.0yr
# Mtot: 0.04995852659600627, Mdot0: 3.1919322842845226e-09, Rc: 150.35822416460047, alpha_SS: 0.001
# R Sigma Sigma_G Simga_DS Sigma_DL T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
0.028256961682402368 18345.915183302346 17279.209299181515 266.67647103020767 800.0294130906229 1728.1638417814702 0.014536013513946962 0.043608040541840885 1e-05 23.60504740077777 3.19193E-09 3.76160E-09
0.03536898918061099 14509.794649293088 13652.870674784883 214.23099362705128 642.6929808811537 1544.6721679144152 0.014764577914787273 0.04429373374436182 1e-05 20.866690804741562 3.20217E-09 3.72384E-09
0.04327848885669148 11721.562346409462 11059.83482904856 165.4318793402259 496.29563802067764 1396.4056631250764 0.014113466656678307 0.04234039997003492 1e-05 18.6983362585862 3.20948E-09 3.68099E-09
0.05198546071064384 9655.176024013026 9142.274237736889 128.22544656903443 384.6763397071033 1274.1093329166492 0.013280487714582285 0.039841463143746855 1e-05 16.940002631599814 3.21617E-09 3.64208E-09
0.06148990474246804 8088.165442191506 7684.557134192063 100.90207699986074 302.70623099958226 1171.5092860450475 0.01247527362305303 0.03742582086915909 1e-05 15.485992135179892 3.22284E-09 3.60879E-09
0.0717918209521641 6873.666129828911 6550.601592949404 80.76613421987685 242.2984026596305 1084.2018924706492 0.011750081062183792 0.03525024318655137 1e-05 14.263856182658731 3.22960E-09 3.58072E-09
0.0828912093397321 5913.927108107151 5651.142895061616 65.69605326138378 197.08815978415137 1009.005207462742 0.011108701893082832 0.0333261056792485 1e-05 13.222354821918891 3.23640E-09 3.55706E-09
0.0947880699051719 5142.523589282019 4925.67414011836 54.21236229091487 162.63708687274462 943.5627890996603 0.010541976395383693 0.03162592918615108 1e-05 12.32425846975497 3.24320E-09 3.53702E-09
0.10748240264848355 4513.2423962865005 4332.011734632295 45.307665413551405 135.92299624065421 886.0922997878748 0.010038828282485025 0.030116484847455074 1e-05 11.54188087878913 3.24993E-09 3.51992E-09
0.12097420756966715 3993.189221730634 3840.0215773000723 38.29191110764039 114.87573332292115 835.2207062630054 0.009589305435179154 0.02876791630553746 1e-05 10.854212955855886 3.25654E-09 3.50526E-09
0.13526348466872254 3558.453673159556 3427.7141930803546 32.68487001980034 98.05461005940103 789.8731655778023 0.009185132931849974 0.027555398795549923 1e-05 10.245028453120748 3.26298E-09 3.49260E-09
0.15035023394564978 3191.3241447084447 3078.7396987579546 28.146111487622527 84.43833446286757 749.1962440145653 0.008819571504289771 0.026458714512869314 1e-05 9.701598695657758 3.26923E-09 3.48163E-09
